Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Shopping Cart,,,,03-08-2025 19:39:08,03-08-2025 19:39:17,9.274s,PASSED
,,,,,,,
Test Cases/GET_Books,,,,03-08-2025 19:39:08,03-08-2025 19:39:12,3.785s,PASSED
"response = sendRequest(findTestObject(""Books/GET_Books""))",,,,03-08-2025 19:39:09,03-08-2025 19:39:11,1.881s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:11,03-08-2025 19:39:11,0.029s,PASSED
"sendRequestAndVerify(findTestObject(""Books/GET_Category_List""))",,,,03-08-2025 19:39:11,03-08-2025 19:39:12,1.201s,PASSED
"responsBookId = sendRequest(findTestObject(""Books/GET_Books_by_id""))",,,,03-08-2025 19:39:12,03-08-2025 19:39:12,0.280s,PASSED
"verifyResponseStatusCode(responsBookId, 200)",,,,03-08-2025 19:39:12,03-08-2025 19:39:12,0.003s,PASSED
,,,,,,,
Test Cases/POST_Shopping Cart,,,,03-08-2025 19:39:12,03-08-2025 19:39:13,0.651s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/POST_ShoppingCart"", [""UserId"":""11361"", ""BookId"":""4""]))",,,,03-08-2025 19:39:12,03-08-2025 19:39:13,0.558s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:13,03-08-2025 19:39:13,0.002s,PASSED
,,,,,,,
Test Cases/POST_Shopping Cart,,,,03-08-2025 19:39:13,03-08-2025 19:39:14,0.974s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/POST_ShoppingCart"", [""UserId"":""11361"", ""BookId"":""4""]))",,,,03-08-2025 19:39:13,03-08-2025 19:39:14,0.956s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:14,03-08-2025 19:39:14,0.003s,PASSED
,,,,,,,
Test Cases/POST_Shopping Cart,,,,03-08-2025 19:39:14,03-08-2025 19:39:15,0.786s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/POST_ShoppingCart"", [""UserId"":""11361"", ""BookId"":""4""]))",,,,03-08-2025 19:39:14,03-08-2025 19:39:15,0.765s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:15,03-08-2025 19:39:15,0.004s,PASSED
,,,,,,,
Test Cases/PUT_Shopping Cart,,,,03-08-2025 19:39:15,03-08-2025 19:39:16,0.909s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/PUT_ShoppinCart_by_Id"", [""UserId"":""11361"", ""BookId"":""4""]))",,,,03-08-2025 19:39:15,03-08-2025 19:39:16,0.802s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:16,03-08-2025 19:39:16,0.004s,PASSED
,,,,,,,
Test Cases/DELETE_All Shopping Cart,,,,03-08-2025 19:39:16,03-08-2025 19:39:16,0.517s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/DELETE_ShoppingCart"", [""UserId"":""11361""]))",,,,03-08-2025 19:39:16,03-08-2025 19:39:16,0.416s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:16,03-08-2025 19:39:16,0.007s,PASSED
,,,,,,,
Test Cases/DELETE_Shopping Cart by BookId,,,,03-08-2025 19:39:16,03-08-2025 19:39:17,0.806s,PASSED
"response = sendRequest(findTestObject(""Shopping_Cart/Delete_ShoppingCart_by_Id"", [""UserId"":""11361"", ""BookId"":""4""]))",,,,03-08-2025 19:39:16,03-08-2025 19:39:17,0.724s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:39:17,03-08-2025 19:39:17,0.003s,PASSED
